art_lbl,true_lbl,s_train,s_val,s_test,size_tot
0,CBFB_MYH11,17,4,3,24
1,NPM1,18,3,4,25
2,RUNX1_RUNX1T1,9,2,2,13
3,PML_RARA,12,3,2,17
4,control,5,1,1,7
